,text,binary,multiclass,source,clean_text,language
0,"Maybe you can provide an example so I can go to ""school"" on it?",Hope,Sarcasm,train,maybe you can provide an example so i can go to school on it?,english
1,#USER# #USER# I have high hopes in Shiina. I read volume 1 and it was like a breath of fresh air how he fixed things that was missing in the anime. The manga story is already better so I believe he will do well with showing Ritowa fighting together. I think he may know we want to see that.,Hope,Generalized Hope,train, i have high hopes in shiina i read volume 1 and it was like a breath of fresh air how he fixed things that was missing in the anime the manga story is already better so i believe he will do well with showing ritowa fighting together i think he may know we want to see that,english
2,"#USER# I started listening to your album,because my dauhter is a big fan now I am a fan as well. Hoping to see you in concert . Bills Vs The Weekend Concert ???",Hope,Generalized Hope,train, i started listening to your albumbecause my dauhter is a big fan now i am a fan as well hoping to see you in conce bills vs the weekend conce???,english
3,En la sencillez está lo bonito de la vida 💚☀️ Iniciamos la jornada de hoy deseando que el viaje de esta nueva semana te permita apreciar todo lo bello que te rodea. Te deseamos un #FelizLunes. 😃 #URL#,Hope,Generalized Hope,train,en la sencillez esta lo bonito de la vida greenheartsun iniciamos la jornada de hoy deseando que el viaje de esta nueva semana te permita apreciar todo lo bello que te rodea te deseamos un #felizlunes grinningfacewithbigeyes ,spanish
4,#USER# Te la desearía pero mi niño...te deseo clinex en todo caso,Hope,Generalized Hope,train, te la desearia pero mi niñote deseo clinex en todo caso,spanish
5,"¿Así que quitarle los derechos a las personas es un valor estadounidense? Creo que voy a impulsar una legislación para prohibir la cirugía de cáncer. Después de todo, las células cancerosas también son vida humana y con la tecnología médica moderna, podrían convertirse en un ser humano.",Hope,Sarcasm,train,asi que quitarle los derechos a las personas es un valor estadounidense? creo que voy a impulsar una legislacion para prohibir la cirugia de cancer despues de todo las celulas cancerosas tambien son vida humana y con la tecnologia medica moderna podrian convertirse en un ser humano,spanish
6,"So, in order to be against gay marriage, a person has to be faithful in his own marriage? Gimme a break. He supports what his constituents want him to support or he doesn't get elected. In case you haven't noticed, the majority of Americans are against gay marriage.",Not Hope,Sarcasm,train,so in order to be against gay marriage a person has to be faithful in his own marriage? gimme a break he supports what his constituents want him to suppoor he doesnt get elected in case you havent noticed the majority of americans are against gay marriage,english
7,"A thought transfixed me: for the first time in my life I saw the truth as it is set into song by so many poets, proclaimed as the final wisdom by so many thinkers. The truth—that love is the ultimate and the highest goal to which man can aspire.",Not Hope,Not Hope,train,a thought transfixed me for the first time in my life i saw the truth as it is set into song by so many poets proclaimed as the final wisdom by so many thinkers the truththat love is the ultimate and the highest goal to which man can aspire,english
8,"Any Landlord holder can then stake the Royalties and Rent into the Vault. 

This means the project does not rely on any particular person to ensure the projects longevity.

The Vault is staked in #USER# (Yearn) and your $ETH grows with interest. 

The beauty of #DeFi!

4/6",Not Hope,Not Hope,train,any landlord holder can then stake the royalties and rent into the vault this means the project does not rely on any particular person to ensure the projects longevity the vault is staked in yearn and your eth grows with interest the beauty of #defi! 46,english
9,"#USER# #USER# #USER# #USER# Un afrodescendiente y su asistente trabajaban liberando iones con carga negativa.. cuando de repente el asistente dijo ""Espere profesor, que pasaría si los ácidos salicílicos no aceptan  a los iones negativos?"" y el profesor dijo ""eso no es un ion negativo es mi esposa"" JAJAJA",Not Hope,Not Hope,train, un afrodescendiente y su asistente trabajaban liberando iones con carga negativa cuando de repente el asistente dijo espere profesor que pasaria si los acidos salicilicos no aceptan a los iones negativos? y el profesor dijo eso no es un ion negativo es mi esposa jajaja,spanish
10,"Lo más triste de todo es ver un partido de la scaloneta y a la semana siguiente ver jugar al Boca de Ibarra, es algo frustrante y horrible, no se lo deseo a nadie.",Not Hope,Not Hope,train,lo mas triste de todo es ver un partido de la scaloneta y a la semana siguiente ver jugar al boca de ibarra es algo frustrante y horrible no se lo deseo a nadie,spanish
11,"Literal, yo quiero esperar y ver qué hacen, los textos no son sagrados, hay miles de adaptaciones de Lorca en teatro hechas por españoles que unas han sido tragedias en el mal sentido de la palabra. Bajemos los humos y a ver qué hacen los yankis en la gran pantalla. #URL#",Not Hope,Not Hope,train,literal yo quiero esperar y ver que hacen los textos no son sagrados hay miles de adaptaciones de lorca en teatro hechas por españoles que unas han sido tragedias en el mal sentido de la palabra bajemos los humos y a ver que hacen los yankis en la gran pantalla ,spanish
