,text,binary,multiclass,source,clean_text,language
0,"#ForbiddenDoor thoughts so far today:

The pop for Suzukis Kazi Ni Nare entrance,him and Eddie squaring off,&amp; just the chaos of that match in general was sick.

And then the triple threat tag was amazing as well. FTR finally being so over is beautiful and I really hope Dax is ok.",Hope,Generalized Hope,train,#forbiddendoor thoughts so far today the pop for suzukis kazi ni nare entrancehim and eddie squaring offamp just the chaos of that match in general was sick and then the triple threat tag was amazing as well ftr finally being so over is beautiful and i really hope dax is ok,english
1,#USER# I’m currently matching/exceeding expectations and in line with the club vision so i’m hoping I’ll be okay. Always a risk though,Hope,Generalized Hope,train, im currently matchingexceeding expectations and in line with the club vision so im hoping ill be okay always a risk though,english
2,"#USER# Spokane is losing a good one! Appreciate all of your hard work, you’ve earned this and I hope you enjoy the new position!",Hope,Generalized Hope,train, spokane is losing a good one! appreciate all of your hard work youve earned this and i hope you enjoy the new position!,english
3,me ven normal pero todos los días pienso en los futuros turnos de bomberos que voy a hacer y rezo para no cagarme toda,Hope,Generalized Hope,train,me ven normal pero todos los dias pienso en los futuros turnos de bomberos que voy a hacer y rezo para no cagarme toda,spanish
4,"#USER# Viendo a varios de los que tengo alrededor creo que ese episodio dio demasiadas ideas, pero son felices.",Hope,Generalized Hope,train, viendo a varios de los que tengo alrededor creo que ese episodio dio demasiadas ideas pero son felices,spanish
5,"Disfruten mucho el tiempo de calidad que les brindan sus novios, es lo que más anhelo con el mío, sé que todo esfuerzo que hacemos tendrá su recompensa 🤞🏻❤️‍🩹",Hope,Generalized Hope,train,disfruten mucho el tiempo de calidad que les brindan sus novios es lo que mas anhelo con el mio se que todo esfuerzo que hacemos tendra su recompensa crossedfingerslightskintonemendingheart,spanish
6,LMAOOOO I pray no one has to go through this😂 fck them other kids tho #URL#,Not Hope,Not Hope,train,lmaoooo i pray no one has to go through thisfacewithtearsofjoy fck them other kids tho ,english
7,"Could he be the warg he was and maintain his place within the Demon Lord’s army? Or was a chance meeting with a strange woman who desired to become a caladrius for a Druid king meant to ruin him?

📣 #USER# #URL# #URL#",Not Hope,Not Hope,train,could he be the warg he was and maintain his place within the demon lords army? or was a chance meeting with a strange woman who desired to become a caladrius for a druid king meant to ruin him? megaphone ,english
8,"Chongyun, you have to believe me... It wasn't me who laid traps inside the house— What? It's not haunted? Well... I, uh, couldn't have known that could I?",Not Hope,Not Hope,train,chongyun you have to believe me it wasnt me who laid traps inside the house what? its not haunted? well i uh couldnt have known that could i?,english
9,#USER# #USER# #USER# Sabes que eso fue en 2012 no? Ese año el Balón de Oro se lo regalan a Cristiano,Not Hope,Not Hope,train, sabes que eso fue en 2012 no? ese año el balon de oro se lo regalan a cristiano,spanish
10,Hoy es de esos días en los que anhelo y necesito comer fruta,Not Hope,Not Hope,train,hoy es de esos dias en los que anhelo y necesito comer fruta,spanish
11,#USER# La de la clase de falo? jajaja y si creo que no soporto 💅🏻,Not Hope,Not Hope,train, la de la clase de falo? jajaja y si creo que no soporto nailpolishlightskintone,spanish
12,20 years ago people used to aspire to own their own home.These days they just want the foodbank to be stocked and find a NHS dentist,Hope,Realistic Hope,train,20 years ago people used to aspire to own their own homethese days they just want the foodbank to be stocked and find a nhs dentist,english
13,I hope I can find a person who shares the same music type with me 🤡🤡,Hope,Realistic Hope,train,i hope i can find a person who shares the same music type with me clownface,english
14,#USER# #USER# Blue dot in red TX but I’m hopeful for a blue November #BetoForTexas,Hope,Realistic Hope,train, blue dot in red tx but im hopeful for a blue november #betofortexas,english
15,"RT #USER# Este video me da esperanza, al menos ya tengo la cara de artesanía oaxaqueña 🥲 #URL#",Hope,Realistic Hope,train, este video me da esperanza al menos ya tengo la cara de artesania oaxaqueña smilingfacewithtear ,spanish
16,ÁNGELUS | A las 12:00h te invitamos a rezar el Ángelus poniendo ante Nuestra Madre tus intenciones.  En este segundo sábado de Cuaresma pedimos por la Congregación de las Hijas de Jesús #USER# #USER# para que Nuestra Purísima Madre del Buen Camino las proteja. #URL#,Hope,Realistic Hope,train,angelus  a las 1200h te invitamos a rezar el angelus poniendo ante nuestra madre tus intenciones en este segundo sabado de cuaresma pedimos por la congregacion de las hijas de jesus para que nuestra purisima madre del buen camino las proteja ,spanish
17,"RT #USER# #USER# Estoy deseando verla, porque no querre yo convertirme algun dia en reina de las walkirias...",Hope,Realistic Hope,train, estoy deseando verla porque no querre yo convertirme algun dia en reina de las walkirias,spanish
18,Well that lets out most of the supreme court when RvW comes up! And of course 1/2 give or take of the voters would be disqualified if relevant issues come up to a vote. Perhaps we should start an effort to amend the constitution to incorporate your idea!,Hope,Sarcasm,train,well that lets out most of the supreme couwhen rvw comes up! and of course 12 give or take of the voters would be disqualified if relevant issues come up to a vote perhaps we should staan effoto amend the constitution to incorporate your idea!,english
19,"And with your current attitude and those like you, you will lose again..........Hey I love it............keep up the good work......
I don't think I could have the hate for someone that you have but if I did I would definitely move on to a place like Canada or Cuba where the majority agree with my beliefs.........
That is just me though...........",Not Hope,Sarcasm,train,and with your current attitude and those like you you will lose againhey i love itkeep up the good work i dont think i could have the hate for someone that you have but if i did i would definitely move on to a place like canada or cuba where the majority agree with my beliefs that is just me though,english
20,"But didn't you know? The USA is a CHRISTIAN NATION and all other beliefs are subservient to that. They don't get it, they actally believe that they're doing good and are also doing it for our own good as well.   It isn't terrorists, or any other outside force which are a threat to American rights and freedoms, it is those like the Christian right who you truly have to fear. Those like Pat Robertson, or Jerry Falwel who have influence and many others as well like your President. How many other Judges feel and believe the same as Judge Moore in Alabama did?",Not Hope,Sarcasm,train,but didnt you know? the usa is a christian nation and all other beliefs are subservient to that they dont get it they actally believe that theyre doing good and are also doing it for our own good as well it isnt terrorists or any other outside force which are a threat to american rights and freedoms it is those like the christian right who you truly have to fear those like pat robertson or jerry falwel who have influence and many others as well like your president how many other judges feel and believe the same as judge moore in alabama did?,english
21,"¿Me estás diciendo que negarías que alguien viva plenamente y permitirías que alguien se salga con la suya con un delito dañino? ¡Wow, suena como un liberal para mí...!",Not Hope,Sarcasm,train,me estas diciendo que negarias que alguien viva plenamente y permitirias que alguien se salga con la suya con un delito dañino? wow suena como un liberal para mi!,spanish
22,"Supongo, entonces, que no tienes vida. ¿Me equivoco?",Not Hope,Sarcasm,train,supongo entonces que no tienes vida me equivoco?,spanish
23,"Bueno, espero que sigan reforestando el bosque. Pero el hecho de que no haya ninguna razón para el cambio no significa que las cosas no vayan a cambiar. Tampoco significa que las cosas vayan a cambiar, claro. Por cierto, ¿este hilo es sobre problemas ambientales o problemas de matemáticas?",Hope,Sarcasm,train,bueno espero que sigan reforestando el bosque pero el hecho de que no haya ninguna razon para el cambio no significa que las cosas no vayan a cambiar tampoco significa que las cosas vayan a cambiar claro por cierto este hilo es sobre problemas ambientales o problemas de matematicas?,spanish
24,i wish skz had like official like continuous designs on their merch idk i feel like it’s all a bit random 😵‍💫,Hope,Unrealistic Hope,train,i wish skz had like official like continuous designs on their merch idk i feel like its all a bit random facewithspiraleyes,english
25,"Asian tigers were making the sinking country even earlier, still Inshallah will make 

#PMLNRebuildingPakistan
 #USER#  #USER# 
#NA133 #USER# 
@wahabshahzad3 #USER#",Hope,Unrealistic Hope,train,asian tigers were making the sinking country even earlier still inshallah will make #pmlnrebuildingpakistan #na133 wahabshahzad3 ,english
